f1,f2
-1506424.8671425725,931746.7670064793
1046717.6170125186,-930606.3123605668
2248255.4077202273,-1822357.014702283
1840399.2717538553,-1456288.3119051745
2601248.191098296,-1989034.8117746373
-2241833.9646297586,1458192.8244034061
-2408321.5538838455,1593058.9660314505
2701857.4249033555,-2041782.9836401236
574670.5451451156,-599830.312916896
1191325.546732275,-1008233.097365649
1313777.5715694495,-1110343.7708045256
87852.28348171321,-278835.498551891
-2166781.119092205,1355129.2921287434
1081861.0091769518,-978823.7769503386
-1690404.315373839,1008217.2121560359
364766.9190322068,-481762.06521948933
-832195.8651553411,456353.0877106275
-1981693.4823617863,1256456.4413280298
-387329.9241062761,128673.5361148003
-1748232.5936043886,1055548.2012004065
-3646238.721939673,2642731.6266158232
1024879.3941584877,-923048.4345996695
-1096515.6201879992,596187.3844793015
2819797.3427626025,-2131990.740891603
74922.9625541215,-253002.1452839357
-435507.74521527754,131847.37040437167
-1246104.3859756587,749938.0051892188
706810.4569800363,-757576.2923721179
-2428785.1319083916,1666907.1271416987
1965858.429011467,-1582106.1199736337
-186083.5895164502,-86195.13313560205
-539322.3191710887,184342.31813106468
-2765895.2716474757,1862723.7235501318
3304433.6884578383,-2406624.9072319916
-3266425.306490782,2302310.181265733
-2448691.077127978,1680413.7158617168
-2044423.9679345428,1319905.981172231
-1456791.8139366729,911317.4460167108
2696921.711300048,-2028152.0911739552
-1856446.9903085502,1200153.616633871
-2158726.0903688185,1336192.4184050248
-1430706.2350849234,887198.1814888366
-554099.8771481321,201225.1354167027
-2822558.9768943777,1930856.2413562378
-299011.22385981306,69397.17801444097
-840063.69821671,462245.78033292346
-3135285.833935996,2266852.8809669367
-2504394.4888344263,1689787.9010167753
-1166508.4147491693,635886.1585574033
-1809477.207123493,1128398.5499188926
1545419.0427463537,-1252571.4444713094
-362721.64395115315,121088.3473553494
-2254717.0179221956,1484735.7417614844
597100.9716194582,-611618.4914908825
2472123.945499843,-1857539.862870026
2102038.8608900434,-1667120.5387799896
-1184265.8162238488,661473.1169519265
-824674.4338186053,345611.52828895097
-846706.1838727796,484820.11998169543
406043.52204245236,-494800.78466173075
2818214.9858562583,-2077110.8816990952
305262.58286719274,-395000.70129557373
3500581.941733851,-2532129.7688879324
-624751.9971730909,245794.31412972574
-550927.9816379412,194533.9520416968
546737.6992296207,-582288.548673794
-2664231.048580508,1822284.3648771932
-1027913.6136309777,552323.848115114
1261471.0723102693,-1099696.0328294626
-3441578.3715481893,2472369.2220115443
334216.52465368365,-442560.8687544908
-1228957.7771805134,673073.7086254093
-1863179.0565290921,1221915.847013572
-1762762.212403622,1076209.1619285357
2320433.9704154404,-1823353.2507242498
-1589477.590417841,958040.9713067781
1963115.5302008188,-1557011.7627664488
1195079.7616410945,-1029567.6510203505
-314314.8340304744,74871.43646855808
-2204678.625708254,1442308.376921263
45117.227679619624,-243241.2636655948
-2917351.8478801674,1958052.8910623852
-1427771.1824288927,883916.216801572
-2951962.8401366835,1994332.90917309
1936752.648758888,-1532446.1915309324
2493306.4959674655,-1894158.435928543
489495.2948105462,-553770.9444599809
-3069226.411689926,2089931.8368093956
-691385.8460923566,298737.9299169602
3007789.689938904,-2168427.529734597
3029882.4973595995,-2242314.13324456
1566301.9799108661,-1353251.9920626467
-84253.61654967765,-133810.05197707986
-1844162.2136149681,1172479.339909583
-2646160.8329257243,1702364.3984982339
1374132.263487368,-1131509.0754163454
92953.4265720959,-308136.0558074593
1661133.4720578785,-1373186.18779967
3793135.524885647,-2763557.81255139
2523067.5509787914,-1935591.8123856273
-13949.303836568608,-186916.4996947265
-217530.54879486232,-68108.19548241477
824394.2583962145,-777275.2288120962
-3185343.3643252323,2300473.471844967
208177.10544457842,-318157.88912334107
239194.37596787408,-333262.8085101049
1735684.579710609,-1412967.2940774078
2012429.403575206,-1595390.4365931945
-42267.112987870496,-139021.79567861985
827444.6927179219,-836959.7382763048
-1573845.5017048726,940720.0509834816
3932905.604277376,-2826320.3814001638
3657143.2545955344,-2648934.3320146715
2179969.3086224077,-1735753.6806111676
-956892.0116134066,494359.17303199973
831061.7332464637,-895890.9174131304
-642215.1222135215,292710.0465768222
2400613.975356316,-1824367.9302092209
-337298.9743916326,80777.44521950737
-173758.23230073522,-118211.29130542482
274982.51437535346,-363739.89123922266
804178.6541033207,-767679.4302207829
-1358977.3703731499,796776.0603175678
3231745.9262278103,-2263528.4020090736
-2290000.2956826864,1523710.2078506928
-1621811.1105766692,999335.474978661
-513920.55115139246,164132.2348755195
-494557.7461413466,141237.33323993138
284191.8697771174,-363831.4592640385
-285199.60730979854,23620.75086485249
2886476.281149096,-2166115.6407682225
-1776386.9907957867,1109799.127769321
-1353954.4399740486,756577.3691430665
-3301816.770776572,2353610.132915522
-710493.684989615,328094.2466953657
-1413748.1841840262,820211.813129963
1552120.3432612945,-1307084.465734932
2023145.8403258703,-1634074.7651038982
2666323.901979887,-1997732.8164231393
-1245910.530790215,718533.8756856672
668904.2172650504,-635311.3895814865
-1859947.3857194788,1202264.0343167721
-1934097.9017042231,1233055.2447846653
-388867.7971973524,129362.24335876097
1465936.292684422,-1230273.0970976264
-236241.23603823085,16947.845905182927
4987.620700157597,-241945.5843062735
684808.246407426,-646707.411038473
1897468.2513056074,-1459434.3630407376
-1443260.010430918,904603.5776831959
-2358244.058424158,1551053.2089231168
1422339.9805227239,-1226635.2108392313
