f1,f2
2.0,-0.8581489350995123
1.875,-0.8487717474909258
1.75,-0.8388910504234147
1.625,-0.8284952300245991
1.5,-0.8175744761936437
1.375,-0.8061210621761402
1.25,-0.7941296281990525
1.125,-0.7815974639023655
1.0,-0.7685247834990175
0.875,-0.7549149868676283
0.75,-0.740774899182154
0.625,-0.7261149812607791
0.5,-0.7109495026250039
0.375,-0.6952966693475653
0.25,-0.679178699175393
0.125,-0.6626218371700825
0.0,-0.6456563062257954
-0.125,-0.6283161882953663
-0.25,-0.610639233949222
-0.375,-0.5926665999540697
-0.5,-0.574442516811659
-0.625,-0.5560138905446199
-0.75,-0.5374298453437496
-0.875,-0.5187412158785352
-1.0,-0.5
