step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost,time
0,,,,,0.0,0.0
1,X4X6X7,0.55315415793254,1.1787520398590796,1.8307836318785926,15.0,2.9786901473999023
2,X4X6X7,0.02435383020822274,1.8307836318785926,1.8753702255973572,15.0,3.901496171951294
3,X4X6X7,0.0657237506632735,1.8753702255973572,1.998626590705845,15.0,3.4058310985565186
4,X4X6X7,0.01930843523500385,1.998626590705845,2.0372169427914453,15.0,3.6048052310943604
5,X4X6X7,0.012658170389773129,2.0372169427914453,2.063004381974232,15.0,3.3734898567199707
6,X4X6X7,0.00448035578819863,2.063004381974232,2.0722473755980895,15.0,3.342288017272949
7,X4X6X7,0.020050745867984693,2.0722473755980895,2.113797481101805,15.0,3.2439448833465576
8,X4X6X7,0.0018176165756229336,2.113797481101805,2.1176395544409656,15.0,4.138988018035889
9,X4X6X7,0.0008920731058426845,2.1176395544409656,2.119528643735351,15.0,3.9186501502990723
10,X4X6X7,0.001120806185157503,2.119528643735351,2.121904224548868,15.0,4.138353109359741
