f1,f2
-8462751.278953131,3665433.7864024295
5635386.655433411,-3445801.913182743
-3551745.776689949,441255.2398398952
-3455901.9693015395,310323.46883151605
3776624.1145163383,-2817213.0180021785
4992937.513231654,-3022408.1299390635
1824533.692058762,-1972817.2857862907
-5399296.889220822,1054415.8928103216
-3151246.798526843,-53470.99937391897
-7728201.9870579,2883612.8855662453
-5035925.393674552,1045119.1404018179
-3801078.2625009865,470291.24103182746
-3168711.336098611,72804.35928967466
-384946.27312386234,-1174011.2887931175
1156258.345382224,-1794947.6397409772
2255327.217235771,-2165906.651093192
6250709.984023758,-3561941.652130819
-3283698.191750993,98744.69754176018
-2514563.651748812,-353618.78752077906
-2147461.0231528007,-440762.00771975896
-2950283.8538910234,-158396.26277717538
-6552922.980232196,1372139.5531705008
1541711.3382709497,-1919247.0181252416
5781639.491998735,-3518702.43960331
-7539065.2587586865,2551063.296483124
2793388.859135377,-2307991.6300226264
-1897612.6760866537,-746021.1769470637
8262406.106330436,-3899949.9739427087
-5585924.786454208,1334964.6514651147
5148224.298642872,-3061678.8907823665
-3461800.1514238473,352748.5911792993
2284049.6674529184,-2267413.4387949905
1913974.8534928737,-2104263.1245911075
-7507104.919489682,2085524.6161715465
723201.4231422879,-1748218.9381469418
5554434.873896066,-3178052.214118635
-7134122.893020676,2035828.468641563
-1083565.156935095,-798649.5828765029
1788626.7544298335,-1941233.9563901946
-8308732.431777954,3406192.1786129978
-2408148.945590388,-360305.00405629445
-2117302.618920338,-513595.38928577467
3048559.112337278,-2570678.900078379
5488102.446772174,-3123775.1773887845
266531.6481114329,-1612645.9736642276
-2642664.7346097175,-217266.7148642584
-4769987.0690334905,563604.4571750663
-8524992.367181677,3676766.5233544405
-2526656.1238455516,-350616.74997142627
-3415536.6138627785,204236.62715181956
-1251879.4223291453,-749978.1893123728
2020835.807666903,-2164151.736525637
-245843.48379539914,-1284763.2360293162
6848797.388020521,-3601735.539639888
1142055.120425821,-1792184.0138066502
-3897830.274421066,550271.4822208902
4001526.039155713,-2825429.1986065055
-7003719.047427305,1979702.616509131
678476.2831229526,-1703729.179095622
1502516.2980153188,-1877460.175757908
5031431.811867673,-3029602.1875530845
1945370.1222217134,-2112183.7162123043
2495383.645833636,-2290092.58467095
-3641098.589670144,441280.96468213387
2856112.890862529,-2447953.842152081
3474776.2634551106,-2673384.6148938523
-6556312.15170828,1973098.199018193
-3818964.942873447,495331.24959355325
4180931.6533272625,-2985637.2393961027
-2552406.1434062338,-217961.0664970983
-1060434.765180722,-1154427.626312529
3556600.481545506,-2691188.611925683
-1113141.9935456326,-774532.0920028392
-5447350.396411633,1171764.3047103677
-52990.18018018018,-1610938.760953216
-80927.97297297297,-1593438.968354073
-100331.38138138139,-1411194.2280592571
-105140.28528528528,-1395355.3994610098
