step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost
0,,,,,0.0
1,X5X6,0.4511361253972581,2375991062.310616,3447886464.1399426,10.0
2,X5X6,0.03990380628069909,3447886464.1399426,3585470257.6828275,10.0
3,X5X6,0.0038946027652688076,3585470257.6828275,3599434240.063188,10.0
4,X5X6,0.002071332939266988,3599434240.063188,3606889866.7673564,10.0
5,X11X12,0.0,2217706409.456238,2217706409.456238,5.0
6,X11X12,0.0,2217706409.456238,2217706409.456238,5.0
7,X11X12,0.0,2217706409.456238,2217706409.456238,5.0
8,X11X12,0.020221803401708906,2217706409.456238,2262552432.4709716,5.0
9,X11X12,0.0,2262552432.4709716,2262552432.4709716,5.0
10,X11X12,0.0,2262552432.4709716,2262552432.4709716,5.0
11,X11X12,0.0,2262552432.4709716,2262552432.4709716,5.0
12,X11X12,0.002459413462236325,2262552432.4709716,2268116984.382406,5.0
13,X11X12,0.0,2268116984.382406,2268116984.382406,5.0
14,X11X12,0.0,2268116984.382406,2268116984.382406,5.0
15,X11X12,0.0,2268116984.382406,2268116984.382406,5.0
16,X11X12,0.0,2268116984.382406,2268116984.382406,5.0
17,X11X12,0.0,2268116984.382406,2268116984.382406,5.0
18,X11X12,0.0,2268116984.382406,2268116984.382406,5.0
19,X11X12,0.0,2268116984.382406,2268116984.382406,5.0
20,X11X12,0.0,2268116984.382406,2268116984.382406,5.0
21,X11X12,0.0,2268116984.382406,2268116984.382406,5.0
22,X11X12,0.0,2268116984.382406,2268116984.382406,5.0
23,X11X12,0.0,2268116984.382406,2268116984.382406,5.0
24,X11X12,0.0,2268116984.382406,2268116984.382406,5.0
25,X11X12,0.01777228256198917,2268116984.382406,2308426600.312497,5.0
26,X11X12,0.0,2308426600.312497,2308426600.312497,5.0
27,X11X12,0.028141950458790053,2308426600.312497,2373390227.3362446,5.0
28,X11X12,0.0,2373390227.3362446,2373390227.3362446,5.0
29,X11X12,0.0,2373390227.3362446,2373390227.3362446,5.0
30,X11X12,0.0,2373390227.3362446,2373390227.3362446,5.0
31,X11X12,0.0,2373390227.3362446,2373390227.3362446,5.0
32,X11X12,0.0,2373390227.3362446,2373390227.3362446,5.0
33,X11X12,0.0,2373390227.3362446,2373390227.3362446,5.0
34,X11X12,0.003306450511975473,2373390227.3362446,2381237724.668538,5.0
35,X11X12,0.0,2381237724.668538,2381237724.668538,5.0
36,X11X12,0.0,2381237724.668538,2381237724.668538,5.0
37,X11X12,0.0,2381237724.668538,2381237724.668538,5.0
38,X11X12,0.0,2381237724.668538,2381237724.668538,5.0
39,X11X12,0.03337844195890976,2381237724.668538,2460719729.851753,5.0
40,X11X12,0.0,2460719729.851753,2460719729.851753,5.0
41,X11X12,0.0,2460719729.851753,2460719729.851753,5.0
42,X11X12,0.0,2460719729.851753,2460719729.851753,5.0
43,X11X12,0.0,2460719729.851753,2460719729.851753,5.0
44,X11X12,0.0,2460719729.851753,2460719729.851753,5.0
45,X11X12,0.050274859553928054,2460719729.851753,2584432068.67163,5.0
46,X11X12,0.0,2584432068.67163,2584432068.67163,5.0
47,X11X12,0.0,2584432068.67163,2584432068.67163,5.0
48,X11X12,0.0,2584432068.67163,2584432068.67163,5.0
49,X11X12,2.4016418749602236e-05,2584432068.67163,2584494137.474421,5.0
50,X11X12,0.0,2584494137.474421,2584494137.474421,5.0
51,X11X12,0.013580980842523993,2584494137.474421,2619594102.8430767,5.0
52,X11X12,0.0,2619594102.8430767,2619594102.8430767,5.0
53,X11X12,0.11295686594959549,2619594102.8430767,2915495242.760273,5.0
