step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost
0,,,,,0.0
1,X11X12X5X6X2X3,0.23458106679211174,4224277967.8336806,5215213599.954519,25.0
2,X11X12X5X6X2X3,0.05859810629518271,5215213599.954519,5520815240.836737,25.0
3,X11X12X5X6X2X3,0.026822879773126973,5520815240.836737,5668899404.2913475,25.0
4,X11X12X5X6X2X3,0.015343676233091744,5668899404.2913475,5755881161.348761,25.0
5,X11X12X5X6X2X3,0.016233250424859767,5755881161.348761,5849317821.656668,25.0
6,X11X12X5X6X2X3,0.020729446438286517,5849317821.656668,5970570942.141214,25.0
7,X11X12X5X6X2X3,0.013084995432928822,5970570942.141214,6048695835.65111,25.0
8,X11X12X5X6X2X3,0.005110674627912472,6048695835.65111,6079608751.990332,25.0
9,X11X12X5X6X2X3,0.04157572370863545,6079608751.990332,6332372885.719684,25.0
10,X11X12X5X6X2X3,0.009632178441143412,6332372885.719684,6393367431.310794,25.0
11,X11X12X5X6X2X3,0.003129865641994158,6393367431.310794,6413377812.370698,25.0
12,X11X12X5X6X2X3,2.4763646313530943e-05,6413377812.370698,6413536630.990519,25.0
13,X11X12X5X6X2X3,0.004021745568908449,6413536630.990519,6439330243.517237,25.0
14,X11X12X5X6X2X3,0.05558863246533154,6439330243.517237,6797283805.74701,25.0
15,X11X12X5X6X2X3,0.0,6797283805.74701,6797283805.74701,25.0
16,X11X12X5X6X2X3,0.0,6797283805.74701,6797283805.74701,25.0
17,X11X12X5X6X2X3,0.002628851951176125,6797283805.74701,6815152858.542446,25.0
18,X11X12X5X6X2X3,0.0003315767365940507,6815152858.542446,6817412604.686671,25.0
19,X11X12X5X6X2X3,0.0007895182936096329,6817412604.686671,6822795076.653156,25.0
20,X11X12X5X6X2X3,0.005393979079243503,6822795076.653156,6859597090.558589,25.0
21,X11X12X5X6X2X3,0.0009826656806954043,6859597090.558589,6866337781.202879,25.0
22,X11X12X5X6X2X3,8.64487445780054e-05,6866337781.202879,6866931367.483912,25.0
23,X11X12X5X6X2X3,0.0006234437138231786,6866931367.483912,6871212512.6782255,25.0
24,X11X12X5X6X2X3,0.0,6871212512.6782255,6871212512.6782255,25.0
25,X11X12X5X6X2X3,0.001422295199818384,6871212512.6782255,6880985405.25194,25.0
26,X11X12X5X6X2X3,0.0006703518353406762,6880985405.25194,6885598086.447303,25.0
27,X11X12X5X6X2X3,0.00974393354993583,6885598086.447303,6952690896.653211,25.0
28,X11X12X5X6X2X3,0.001564879164698115,6952690896.653211,6963571017.7759695,25.0
29,X11X12X5X6X2X3,0.0,6963571017.7759695,6963571017.7759695,25.0
30,X11X12X5X6X2X3,1.7471144440160162e-06,6963571017.7759695,6963583183.931477,25.0
31,X11X12X5X6X2X3,1.643236684428144e-06,6963583183.931477,6963594626.7468195,25.0
32,X11X12X5X6X2X3,0.0,6963594626.7468195,6963594626.7468195,25.0
