step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost
0,,,,,0.0
1,bmiaspirin,0.5248439004810975,0.2435436102301973,0.37136598856066216,10.0
2,bmiaspirin,0.06513876865315986,0.37136598856066216,0.39555631177516715,10.0
3,bmiaspirin,0.02739162314306612,0.39555631177516715,0.4063912411991737,10.0
4,bmiaspirin,0.009241552255465673,0.4063912411991737,0.4101469270908794,10.0
5,bmiaspirin,0.00463866578181282,0.4101469270908794,0.41204946160709155,10.0
6,bmiaspirin,0.00525228100398456,0.41204946160709155,0.41421366116699254,10.0
7,bmiaspirin,0.0020624545978916438,0.41421366116699254,0.41506795803697594,10.0
8,bmiaspirin,0.0014258492129454695,0.41506795803697594,0.41565978235826184,10.0
9,bmiaspirin,0.003316340825050221,0.41565978235826184,0.41703825186382804,10.0
10,bmiaspirin,0.00015765456471450142,0.41703825186382804,0.4171039998478949,10.0
11,bmiaspirin,0.0023469535575287356,0.4171039998478949,0.4180829235641974,10.0
12,bmiaspirin,0.0017278727042127225,0.4180829235641974,0.41880531763592144,10.0
13,bmiaspirin,0.0017913934067076982,0.41880531763592144,0.41955556272062855,10.0
