step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost
0,,,,,0.0
1,bmiaspirin,0.49287526535021864,0.19410794945439105,0.2897789565483109,10.0
2,bmiaspirin,0.05873403913447088,0.2897789565483109,0.3067988451225655,10.0
3,bmiaspirin,0.020565341779895666,0.3067988451225655,0.31310826823018834,10.0
4,bmiaspirin,0.011881966660694302,0.31310826823018834,0.31682861023448716,10.0
5,bmiaspirin,0.0053077216205917295,0.31682861023448716,0.3185102482990508,10.0
6,bmiaspirin,0.0035518077647652482,0.3185102482990508,0.31964153547211666,10.0
7,bmiaspirin,0.005675269533587008,0.31964153547211666,0.32145558734005053,10.0
8,bmiaspirin,0.0019001943135809082,0.32145558734005053,0.3220664154191829,10.0
9,bmiaspirin,0.003886046535288384,0.3220664154191829,0.32331798049695537,10.0
10,bmiaspirin,0.001977274421415158,0.32331798049695537,0.3239572688697756,10.0
11,bmiaspirin,0.001975746876056968,0.3239572688697756,0.324597326431721,10.0
12,bmiaspirin,0.0011527324730333365,0.324597326431721,0.32497150031055866,10.0
13,bmiaspirin,0.00019380318023967766,0.32497150031055866,0.3250344808208061,10.0
