step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost
0,,,,,0.0
1,X1X2,0.27418453577826757,502.5122549695969,640.2933443213262,10.0
2,X1X2,0.03382058275252087,640.2933443213262,661.948438358834,10.0
3,X1X2,0.010582945316249424,661.948438358834,668.9538024841622,10.0
4,X1X2,0.005830836405591994,668.9538024841622,672.8543626693461,10.0
5,X1X2,0.003784134528628929,672.8543626693461,675.4005340958618,10.0
6,X1X2,0.002428872896184199,675.4005340958618,677.0409961471955,10.0
7,X1X2,0.0011603705271401785,677.0409961471955,677.8266145647904,10.0
8,X1X2,0.0013059461344542163,677.8266145647904,678.7118196119114,10.0
9,X1X2,0.0010772742810573226,678.7118196119114,679.442978399429,10.0
10,X1X2,0.0006168254513876542,679.442978399429,679.8620761212724,10.0
11,X1X2,0.0007844484300711501,679.8620761212724,680.3953928595506,10.0
12,X1X2,0.00027652503233649694,680.3953928595506,680.5835392175627,10.0
13,X1X2,0.0005450872892054568,680.5835392175627,680.9545166540327,10.0
14,X1X2,0.0003194717120922627,680.9545166540327,681.1720623593251,10.0
15,X1X2,0.0004211657357510234,681.1720623593251,681.4589486921417,10.0
