step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost
0,,,,,0.0
1,X1X2,0.20321322250658494,376.5787246976234,453.1045008708475,10.0
2,X1X2,0.06007671148519079,453.1045008708475,480.3255292423068,10.0
3,X1X2,0.018677109681160244,480.3255292423068,489.2966218346267,10.0
4,X1X2,0.008287851913585643,489.2966218346267,493.3518397782098,10.0
5,X1X2,0.0019769084237138577,493.3518397782098,494.3271511861221,10.0
6,X1X2,0.00303915273042292,494.3271511861221,495.82948689737157,10.0
7,X1X2,0.0033591231846752923,495.82948689737157,497.4950392224542,10.0
8,X1X2,0.0025809070873784932,497.4950392224542,498.77902769511905,10.0
9,X1X2,0.0019514001154503269,498.77902769511905,499.7523451473475,10.0
10,X1X2,0.001505463906606222,499.7523451473475,500.50470426520866,10.0
11,X1X2,0.0015915603722497218,500.50470426520866,501.30128771864173,10.0
12,X1X2,0.004385297905005078,501.30128771864173,503.49964320545064,10.0
13,X1X2,0.0008629282543627856,503.49964320545064,503.9341272736342,10.0
14,X1X2,0.0004544942342165615,503.9341272736342,504.163162428905,10.0
15,X1X2,0.0016200083506014056,504.163162428905,504.97991096210546,10.0
