step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost
0,,,,,0.0
1,X1X2X3X4,0.6109413041577549,1240.8883836248176,1998.9983510307723,20.0
2,X1X2X3X4,0.03379330353115165,1998.9983510307723,2066.5511090654268,20.0
3,X1X2X3X4,0.005885295277104065,2066.5511090654268,2078.7133725475037,20.0
4,X1X2X3X4,0.007087490902829154,2078.7133725475037,2093.4462346650234,20.0
5,X1X2X3X4,0.005822614788296332,2093.4462346650234,2105.6355656694873,20.0
6,X1X2X3X4,0.01548161087387461,2105.6355656694873,2138.234196139373,20.0
7,X1X2X3X4,0.013743588200281336,2138.234196139373,2167.6212064068723,20.0
8,X1X2X3X4,0.0054851448505739645,2167.6212064068723,2179.51092270519,20.0
9,X1X2X3X4,0.0005238729471637449,2179.51092270519,2180.652709515643,20.0
10,X1X2X3X4,0.002493784826524107,2180.652709515643,2186.090788154552,20.0
