type_trial,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost
0,,,,,0.0
1,X1X2X3,0.2609934426621174,1633.1050963592968,2059.3348176871586,30.0
1,X2X3,0.19677818982496623,1128.4108645395245,1350.4575118424373,20.0
1,X1X2X3,0.03720137785674672,2059.3348176871586,2135.9449103734933,30.0
1,X2X3,0.013895183264893871,1350.4575118424373,1369.2223664609405,20.0
1,X1X2X3,0.010184152096637774,2135.9449103734933,2157.6976982107763,30.0
1,X2X3,0.005411900322578418,1369.2223664609405,1376.632461427672,20.0
1,X1X2X3,0.0019382582691977888,2157.6976982107763,2161.8798736167623,30.0
1,X1X2X3,0.0023466643803651765,2161.8798736167623,2166.953080110807,30.0
1,X1X2X3,0.004938081909721702,2166.953080110807,2177.653671914918,30.0
1,X1X2X3,0.0020509851530225442,2177.653671914918,2182.1200072644406,30.0
1,X2X3,0.001754727058516629,1376.632461427672,1379.0480756573716,20.0
1,X1X2X3,0.0010941042304316276,2182.1200072644406,2184.507473995698,30.0
1,X2X3,0.0009959832783328387,1379.0480756573716,1380.4215844807434,20.0
1,X2X3,0.0006770038113028841,1380.4215844807434,1381.3561351546416,20.0
1,X2X3,0.0004094301572401081,1381.3561351546416,1381.9217040142626,20.0
1,X2X3,0.0002818590827299749,1381.9217040142626,1382.3112111981607,20.0
1,X2X3,0.00022770870981152143,1382.3112111981607,1382.6259755006206,20.0
1,X1X2X3,0.00022282594675423977,2184.507473995698,2184.994238941783,30.0
1,X1X2X3,0.00021736334180875975,2184.994238941783,2185.469176591392,30.0
1,X1X2X3,0.0013639726622642733,2185.469176591392,2188.450096802484,30.0
1,X2X3,0.00018819654832303152,1382.6259755006206,1382.8861809368316,20.0
1,X2X3,0.00018296665440029763,1382.8861809368316,1383.139202994774,20.0
1,X2X3,0.00011733604945817348,1383.139202994774,1383.3014950847041,20.0
1,X2X3,9.080730242207774e-05,1383.3014950847041,1383.4271089619092,20.0
1,X2X3,0.00010254962627971834,1383.4271089619092,1383.5689788949185,20.0
1,X1X2X3,8.37883299216965e-05,2188.450096802484,2188.633463381212,30.0
1,X2X3,8.117615227206903e-05,1383.5689788949185,1383.6812917010282,20.0
1,X2X3,5.522041770268312e-05,1383.6812917010282,1383.7576991599233,20.0
1,X2X3,4.3796591267501735e-05,1383.7576991599233,1383.8183030302866,20.0
1,X2X3,7.374451794403916e-05,1383.8183030302866,1383.9203520439657,20.0
1,X2X3,4.362020906092285e-05,1383.9203520439657,1383.9807189390456,20.0
1,X2X3,4.3562091358115165e-05,1383.9807189390456,1384.0410080335619,20.0
1,X2X3,3.625220470187969e-05,1384.0410080335619,1384.091182571501,20.0
1,X2X3,4.1808531717686127e-05,1384.091182571501,1384.1490493916076,20.0
