step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost,time
0,,,,,0.0,0.0
1,X1X2X3,1.298731303152771,852.0725975759353,1958.6859526064964,15.0,6.204883337020874
2,X2X3,0.6561891693981169,796.3212153208581,1318.858572176351,10.0,3.33014178276062
3,X1X2X3,0.01688616120404895,1958.6859526064964,1991.7606393503158,15.0,3.0235249996185303
4,X2X3,0.009694253424891183,1318.858572176351,1331.6439214066186,10.0,3.5666661262512207
5,X2X3,0.043580861836339815,1331.6439214066186,1389.6781111606422,10.0,2.9914538860321045
6,X1X2X3,0.008398486134835242,1991.7606393503158,2008.48841346381,15.0,2.803920030593872
7,X1X2X3,0.007477330321662456,2008.48841346381,2023.5065447785107,15.0,4.296375036239624
8,X1X2X3,0.009478683910392038,2023.5065447785107,2042.6867237070758,15.0,4.0590269565582275
9,X1X2X3,0.019400660506422973,2042.6867237070758,2082.316195354694,15.0,4.596132755279541
10,X2X3,0.003666299803882899,1389.6781111606422,1394.7730877470508,10.0,4.434747934341431
11,X1X2X3,0.0032232426854727648,2082.316195354694,2089.0280058002127,15.0,3.471184730529785
12,X1X2X3,0.003861574261669643,2089.0280058002127,2097.094942579318,15.0,4.00555682182312
13,X1X2X3,0.002335830083856566,2097.094942579318,2101.993400034898,15.0,4.257417917251587
14,X1X2X3,0.0018766132350249126,2101.993400034898,2105.9380286693386,15.0,4.459366083145142
