step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost,time
0,,,,,0.0,0.0
1,X1X2X3X4,0.2193306032806133,1443.6887090223609,1760.333824521645,20.0,3.8547608852386475
2,X1X2X3X4,0.11891961184678242,1760.333824521645,1969.672039654521,20.0,3.3272290229797363
3,X1X2X3X4,0.05721728297616645,1969.672039654521,2082.3713221176768,20.0,3.2909467220306396
4,X1X2X3X4,0.00416166794519189,2082.3713221176768,2091.0374600989207,20.0,3.301447868347168
5,X1X2X3X4,0.0190574373979353,2091.0374600989207,2130.8872755914936,20.0,3.995581865310669
6,X1X2X3X4,0.00047233354129116344,2130.8872755914936,2131.893765124466,20.0,3.7360668182373047
7,X1X2X3X4,0.007487736470508512,2131.893765124466,2147.856823820838,20.0,3.771535873413086
8,X1X2X3X4,0.005256784407092186,2147.856823820838,2159.147644080966,20.0,4.340031862258911
9,X1X2X3X4,0.0029650345518649635,2159.147644080966,2165.549591448244,20.0,4.4354329109191895
10,X1X2X3X4,0.0023427343938273036,2165.549591448244,2170.6228989576684,20.0,4.78397011756897
