step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost,time
0,,,,,0.0,0.0
1,X1X2X3X4,0.41813478582712366,1185.732558368188,1681.5285877097176,20.0,0.6872420310974121
2,X1X2X3X4,0.1374470779403904,1681.5285877097176,1912.6497785636498,20.0,0.6760339736938477
3,X1X2X3X4,0.04113424049271574,1912.6497785636498,1991.3251745334264,20.0,0.7067930698394775
4,X1X2X3X4,0.00034604427112541514,1991.3251745334264,1992.0142612020215,20.0,0.6855249404907227
5,X1X2X3X4,0.008532049401392367,1992.0142612020215,2009.0102252868753,20.0,0.6964218616485596
6,X1X2X3X4,0.0002712709858054044,2009.0102252868753,2009.555211471182,20.0,0.694321870803833
7,X1X2X3X4,4.9877624006561386e-05,2009.555211471182,2009.6554433104402,20.0,0.7905972003936768
8,X1X2X3X4,0.005032800958677962,2009.6554433104402,2019.7696391521454,20.0,0.8311150074005127
9,X1X2X3X4,0.0,2019.7696391521454,2019.7696391521454,20.0,0.7182667255401611
10,X1X2X3X4,0.0,2019.7696391521454,2019.7696391521454,20.0,0.8205108642578125
