step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost,time
0,,,,,0.0,0.0
1,X1X2X3X4,0.4305569870188119,1185.732558368188,1696.2579961093024,20.0,6.548403263092041
2,X1X2X3X4,0.0,1696.2579961093024,1696.2579961093024,20.0,6.019399166107178
3,X1X2X3X4,0.07124131493681742,1696.2579961093024,1817.10164622422,20.0,6.556411981582642
4,X1X2X3X4,0.002583464218871836,1817.10164622422,1821.7960633092935,20.0,3.0734293460845947
5,X1X2X3X4,0.0007451802920381341,1821.7960633092935,1823.1536298317842,20.0,3.374293088912964
6,X1X2X3X4,0.027126111508820102,1823.1536298317842,1872.6086984923113,20.0,3.426267147064209
7,X1X2X3X4,0.0,1872.6086984923113,1872.6086984923113,20.0,2.8139781951904297
8,X1X2X3X4,7.662276966611387e-07,1872.6086984923113,1872.610133336961,20.0,1.9625840187072754
9,X1X2X3X4,0.014663351026714828,1872.610133336961,1900.0688730582642,20.0,2.0048587322235107
10,X1X2X3X4,0.025762283992686288,1900.0688730582642,1949.0189869716546,20.0,1.9108667373657227
