step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost,time
0,,,,,0.0,0.0
1,X1X2X3X4,0.6622914691480598,849.6367934814028,1412.3439936784478,20.0,0.23045992851257324
2,X1X2X3X4,0.40302773720450324,1412.3439936784478,1981.5577976050438,20.0,0.23475313186645508
3,X1X2X3X4,0.029314724209306087,1981.5577976050438,2039.6466179466356,20.0,0.2498619556427002
4,X1X2X3X4,0.0,2039.6466179466356,2039.6466179466356,20.0,0.2677478790283203
5,X1X2X3X4,0.010132993164641642,2039.6466179466356,2060.3143431845733,20.0,0.2631552219390869
6,X1X2X3X4,0.00022419934456608594,2060.3143431845733,2060.7762643099154,20.0,0.37467503547668457
7,X1X2X3X4,0.01221780635597901,2060.7762643099154,2085.9544296502518,20.0,0.26611995697021484
8,X1X2X3X4,0.0023176245646093566,2085.9544296502518,2090.788888877065,20.0,0.4268059730529785
9,X1X2X3X4,0.0010251031919917657,2090.788888877065,2092.9321632408337,20.0,0.3360469341278076
10,X1X2X3X4,0.0007164847591403901,2092.9321632408337,2094.4317172377105,20.0,0.4854159355163574
