step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost
0,,,,,0.0
1,X1X2X3,1.1756791662875141,917.6150935045987,1996.4360416089246,15.0
2,X1X2X3,0.032374670224147965,1996.4360416089246,2061.070000079617,15.0
3,X2X3,0.013311741388871394,784.4083246662144,794.8501654274489,10.0
4,X2X3,0.6173914991105517,794.8501654274489,1285.5839006289716,10.0
5,X2X3,0.036887658801023494,1285.5839006289716,1333.006080915462,10.0
6,X2X3,0.029297018056773653,1333.006080915462,1372.0591841378314,10.0
7,X2X3,0.004792201590831872,1372.0591841378314,1378.6343683427722,10.0
8,X2X3,0.0032404585576911215,1378.6343683427722,1383.1017758795956,10.0
9,X1X2X3,0.002049545531615779,2061.070000079617,2065.2942568886274,15.0
10,X1X2X3,0.012557470719537202,2065.2942568886274,2091.2291290467347,15.0
11,X1X2X3,0.004003818146768528,2091.2291290467347,2099.602030182663,15.0
12,X1X2X3,0.025284725978010906,2099.602030182663,2152.689892178707,15.0
13,X1X2X3,0.005986169701629527,2152.689892178707,2165.5762591882713,15.0
14,X1X2X3,0.004064851845756572,2165.5762591882713,2174.3790058425593,15.0
15,X1X2X3,0.0018642982242337268,2174.3790058425593,2178.4326967619627,15.0
16,X1X2X3,0.0013181457882589923,2178.4326967619627,2181.304188646205,15.0
