step,intervened_set,relative_hv_improvement,previous_hv,current_hv,cost
0,,,,,0.0
1,X1X2X3X4,0.22450991711836393,1599.9762084920753,1959.1867344519853,20.0
2,X1X2X3X4,0.09080791064194797,1959.1867344519853,2137.096388364991,20.0
3,X1X2X3X4,0.006964465620293382,2137.096388364991,2151.980122689012,20.0
4,X1X2X3X4,0.008735994184627768,2151.980122689012,2170.779808526258,20.0
5,X1X2X3X4,0.006334344469634344,2170.779808526258,2184.53027560119,20.0
6,X1X2X3X4,0.016336276297274716,2184.53027560119,2220.217365763173,20.0
7,X1X2X3X4,0.012654174007298622,2220.217365763173,2248.3123826435663,20.0
8,X1X2X3X4,0.003549487584474026,2248.3123826435663,2256.292739531779,20.0
9,X1X2X3X4,0.0045318491858819185,2256.292739531779,2266.517917946537,20.0
10,X1X2X3X4,0.00382813390040176,2266.517917946537,2275.1944520240963,20.0
